TIME,pH,STDEV
0,2.826666667,0.035118846
10,2.653333333,0.080829038
20,2.506666667,0.028867513
30,2.32,0.043588989
40,2.326666667,0.060277138
50,2.293333333,0.085049005
60,2.243333333,0.070945989
70,2.143333333,0.092376043
80,2.07,0.104403065
90,2.02,0.12489996
100,1.93,0.096436508
110,1.906666667,0.141539158
120,1.866666667,0.134288247
130,1.846666667,0.125033329
140,1.836666667,0.115470054
150,1.836666667,0.124230968
160,1.82,0.112694277
170,1.796666667,0.124230968
180,1.78,0.121243557
