TIME,pH,STDEV
0,5.49,0.060827625
10,5.293333333,0.090184995
20,5.233333333,0.080208063
30,5.25,0.078102497
40,5.09,0.103923048
50,5.066666667,0.035118846
60,4.976666667,0.032145503
70,5.016666667,0.032145503
80,4.63,0.24979992
90,4.726666667,0.276465791
100,4.673333333,0.046188022
110,4.57,0.175783958
120,4.63,0.103923048
130,4.493333333,0.061101009
140,4.573333333,0.045092498
150,4.503333333,0.172143351
160,4.396666667,0.132035349
170,4.433333333,0.119303534
180,4.363333333,0.176162803
